t_sec,ecg
6.393333,-0.09375286111026337
6.4,-0.13281655323953978
6.406667,-0.1640675069429609
6.413333,-0.17969298379467147
6.42,-0.1640675069429609
6.426667,0.6718955046235542
6.433333,-0.7812433240760521
6.44,-0.6406140324106571
6.446667,-0.6406140324106571
6.453333,0.7031769768364513
6.46,-0.4609210486159856
6.466667,-0.9765923032319102
6.473333,-0.9765923032319102
6.48,-0.7265846736045412
6.486667,-0.4140751365703299
6.493333,-0.31250953703421125
6.5,-0.30469679860835597
6.506667,-0.27344584490493484
6.513333,-0.26563310647907956
6.52,-0.250007629627369
6.526667,-0.250007629627369
6.533333,-0.250007629627369
6.54,-0.23438215277565844
6.546667,-0.14062929166539506
6.553333,-0.039063692129276406
6.56,0.0
6.566667,3.051850947599719e-05
6.573333,3.051850947599719e-05
6.58,0.00784325693533128
